message,label
"Your bank account has been BLOCKED! Verify your KYC immediately or face legal action. Click here: bit.ly/verify-now",1
"Congratulations! You have won Rs.10,00,000 in the Lucky Draw. Call 9876543210 to claim your prize now!",1
"Dear customer, your SIM card will be deactivated within 24 hours. Share your OTP to avoid disconnection.",1
"URGENT: Your UPI account is suspended. Pay Rs.500 processing fee via UPI to restore access immediately.",1
"Income Tax Department: A tax refund of Rs.15,420 is pending for your account. Click bit.ly/refund to claim.",1
"RBI Alert: Your bank account shows suspicious activity. Call 8800123456 immediately to avoid account freeze.",1
"Amazon: You are the lucky winner of an iPhone 15 Pro. Claim within 2 hours or prize will be forfeited.",1
"POLICE NOTICE: A fraud case has been registered against your Aadhaar number. Call officer immediately.",1
"Your electricity connection will be cut in 2 hours due to pending dues. Pay Rs.1200 on this UPI: scam@upi",1
"Microsoft Security Alert: Your PC has a virus. Call our toll-free number 1800-123-4567 to fix it now!",1
"Send Rs.50 now to receive Rs.5000 Bitcoin reward. Limited offer! wallet: 1A2B3C4D5E6F",1
"Flipkart: Your order #FK123456 has been returned. Refund of Rs.2499 is pending. Update bank details now.",1
"KYC verification required for your PhonePe account. Failure to verify within 24 hrs will block your account.",1
"Congratulations! You won a free iPhone in our survey. Click http://192.168.1.1/claim to get it delivered.",1
"URGENT!! Your credit card ending 4567 has been used for Rs.45,000 purchase. Call 9900123456 to cancel!!!",1
"Dear user, your account password was changed. If this was not you, click here: tinyurl.com/reset-now",1
"Your Paytm wallet has been frozen. To unfreeze, share your 6-digit mpin with our agent on 9876001234.",1
"Customs department: A parcel from USA is held. Pay Rs.3500 customs duty to release. Call 9988776655.",1
"Hi team, the project meeting is rescheduled to Friday 3 PM. Please update your calendars accordingly.",0
"Your order from Swiggy has been delivered. Rate your experience and get 10% off on your next order.",0
"Dear Rahul, your electricity bill of Rs.1,450 for the month of June has been paid successfully.",0
"OTP for your SBI login is 784521. This OTP is valid for 10 minutes. Do not share this OTP with anyone.",0
"Your Zomato order #ZM987654 is out for delivery. Expected arrival in 15 minutes.",0
"Congratulations on completing 5 years at the company! Your loyalty and hard work are truly appreciated.",0
"Reminder: Your Netflix subscription renews on July 25. No action needed if you wish to continue.",0
"Dear Customer, your fixed deposit of Rs.1,00,000 has matured. Please visit the branch to renew or withdraw.",0
"Your HDFC credit card statement for June 2025 is now available. Total due: Rs.8,432. Due date: July 15.",0
"Hi, just confirming our lunch meeting tomorrow at 1 PM at the usual place. Let me know if that still works.",0
"Your UPI payment of Rs.500 to Rohan Sharma was successful. Transaction ID: TXN20250621.",0
"Amazon delivery update: Your package will arrive tomorrow between 10 AM and 2 PM. No signature required.",0
"Your health insurance premium of Rs.12,000 is due on August 1. Please ensure sufficient balance.",0
"Good morning! Team standup is at 10 AM today. Please have your updates ready.",0
"Your railway ticket PNR 4567890123 is confirmed. Train departs from Mumbai CST at 06:35 on July 22.",0
"Please find attached the invoice for services rendered in June 2025. Payment due within 30 days.",0
"Your Google account sign-in from Chrome on Windows was detected. If this was you, no action is needed.",0
"Reminder: Dental appointment tomorrow at 11:30 AM with Dr. Sharma. Please arrive 10 minutes early.",0
"Your mutual fund SIP of Rs.5,000 has been processed for July. Units allotted at NAV of Rs.42.56.",0
