report_id,date,district,state,fraud_type,severity,latitude,longitude,description
I4C-00001,2025-01-18,Mumbai,Maharashtra,Digital Arrest / Impersonation of Law Enforcement,medium,19.04108,72.89279,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00002,2024-05-07,Ghaziabad,Uttar Pradesh,Digital Arrest / Impersonation of Law Enforcement,medium,28.71017,77.42527,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00003,2025-03-23,Bengaluru Urban,Karnataka,Digital Arrest / Impersonation of Law Enforcement,medium,12.96405,77.62729,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00004,2023-08-30,Bengaluru Urban,Karnataka,Digital Arrest / Impersonation of Law Enforcement,medium,12.94371,77.60027,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00005,2024-01-20,Noida (Gautam Buddh Nagar),Uttar Pradesh,Digital Arrest / Impersonation of Law Enforcement,medium,28.54153,77.4092,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00006,2024-10-05,Mumbai,Maharashtra,Digital Arrest / Impersonation of Law Enforcement,high,19.08077,72.83398,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00007,2024-05-14,New Delhi,Delhi,Online Financial Fraud (UPI/Card/Net-banking),low,28.65624,77.19516,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00008,2023-05-30,Bengaluru Urban,Karnataka,Investment / Trading Scam,medium,12.95162,77.59411,Victim was added to a trading/investment group promising high guaranteed returns and lost funds after transferring an initial deposit.
I4C-00009,2023-03-22,Bengaluru Urban,Karnataka,Online Financial Fraud (UPI/Card/Net-banking),medium,12.96341,77.62031,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00010,2024-11-27,Bhubaneswar,Odisha,Romance / Matrimonial Scam,high,20.25386,85.83031,"Victim developed an online relationship with a profile that later requested money for a claimed emergency, travel, or customs issue."
I4C-00011,2024-07-06,Madurai,Tamil Nadu,Job Fraud / Work-From-Home Scam,high,9.93464,78.12779,Victim responded to a work-from-home task-based job offer and was asked to pay a registration or task-completion fee.
I4C-00012,2025-07-01,New Delhi,Delhi,Courier / Parcel Scam,medium,28.63032,77.16507,"Fraudulent call claimed a parcel addressed to the victim was intercepted at customs containing prohibited items, demanding a clearance fee."
I4C-00013,2023-12-11,Warangal,Telangana,Digital Arrest / Impersonation of Law Enforcement,medium,17.96698,79.61717,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00014,2025-03-25,Kanpur Nagar,Uttar Pradesh,Online Financial Fraud (UPI/Card/Net-banking),high,26.44927,80.30372,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00015,2023-10-08,Pune,Maharashtra,Job Fraud / Work-From-Home Scam,medium,18.55754,73.81476,Victim responded to a work-from-home task-based job offer and was asked to pay a registration or task-completion fee.
I4C-00016,2025-02-18,Vadodara,Gujarat,Investment / Trading Scam,medium,22.3436,73.15904,Victim was added to a trading/investment group promising high guaranteed returns and lost funds after transferring an initial deposit.
I4C-00017,2025-09-20,Bhubaneswar,Odisha,Online Financial Fraud (UPI/Card/Net-banking),low,20.26119,85.79212,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00018,2024-10-14,Patna,Bihar,Online Financial Fraud (UPI/Card/Net-banking),medium,25.56233,85.11579,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00019,2023-04-21,Vijayawada,Andhra Pradesh,KYC Update Fraud,medium,16.52525,80.64955,Victim received a message claiming their bank/SIM KYC had expired and shared OTP/credentials on a fraudulent link or call.
I4C-00020,2025-03-26,New Delhi,Delhi,Courier / Parcel Scam,medium,28.651,77.25419,"Fraudulent call claimed a parcel addressed to the victim was intercepted at customs containing prohibited items, demanding a clearance fee."
I4C-00021,2025-06-21,Pune,Maharashtra,Digital Arrest / Impersonation of Law Enforcement,medium,18.48075,73.87013,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00022,2025-01-14,Dakshina Kannada (Mangaluru),Karnataka,Digital Arrest / Impersonation of Law Enforcement,medium,12.89811,74.81126,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00023,2024-12-12,Kanpur Nagar,Uttar Pradesh,Investment / Trading Scam,medium,26.40693,80.3027,Victim was added to a trading/investment group promising high guaranteed returns and lost funds after transferring an initial deposit.
I4C-00024,2025-09-10,Ghaziabad,Uttar Pradesh,Job Fraud / Work-From-Home Scam,critical,28.66662,77.41534,Victim responded to a work-from-home task-based job offer and was asked to pay a registration or task-completion fee.
I4C-00025,2025-11-23,New Delhi,Delhi,Investment / Trading Scam,medium,28.57249,77.16922,Victim was added to a trading/investment group promising high guaranteed returns and lost funds after transferring an initial deposit.
I4C-00026,2023-02-25,Bengaluru Urban,Karnataka,Online Financial Fraud (UPI/Card/Net-banking),medium,13.0167,77.59743,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00027,2025-11-27,Jodhpur,Rajasthan,Digital Arrest / Impersonation of Law Enforcement,high,26.21871,73.03859,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00028,2024-11-06,Mumbai,Maharashtra,Loan App Harassment,high,19.0427,72.90489,Victim took a small loan via an unregistered instant-loan app and was later harassed with morphed images sent to their contacts.
I4C-00029,2024-05-05,Meerut,Uttar Pradesh,Romance / Matrimonial Scam,low,28.99582,77.73524,"Victim developed an online relationship with a profile that later requested money for a claimed emergency, travel, or customs issue."
I4C-00030,2023-03-01,Vadodara,Gujarat,Loan App Harassment,medium,22.33119,73.15387,Victim took a small loan via an unregistered instant-loan app and was later harassed with morphed images sent to their contacts.
I4C-00031,2024-12-06,Raipur,Chhattisgarh,Online Financial Fraud (UPI/Card/Net-banking),medium,21.28041,81.62682,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00032,2024-03-27,Thane,Maharashtra,Online Shopping / E-commerce Fraud,medium,19.262,73.0269,"Victim did not receive goods ordered from a fraudulent e-commerce listing, or a fake refund process was used to extract further payment."
