district,state,latitude,longitude
Bengaluru Urban,Karnataka,12.9716,77.5946
Mysuru,Karnataka,12.2958,76.6394
Belagavi,Karnataka,15.8497,74.4977
Dakshina Kannada (Mangaluru),Karnataka,12.9141,74.8560
Mumbai,Maharashtra,19.0760,72.8777
Pune,Maharashtra,18.5204,73.8567
Nagpur,Maharashtra,21.1458,79.0882
Thane,Maharashtra,19.2183,72.9781
Hyderabad,Telangana,17.3850,78.4867
Warangal,Telangana,17.9784,79.6003
Rangareddy,Telangana,17.3204,78.4200
New Delhi,Delhi,28.6139,77.2090
Lucknow,Uttar Pradesh,26.8467,80.9462
Noida (Gautam Buddh Nagar),Uttar Pradesh,28.5355,77.3910
Ghaziabad,Uttar Pradesh,28.6692,77.4538
Kanpur Nagar,Uttar Pradesh,26.4499,80.3319
Varanasi,Uttar Pradesh,25.3176,82.9739
Meerut,Uttar Pradesh,28.9845,77.7064
Agra,Uttar Pradesh,27.1767,78.0081
Chennai,Tamil Nadu,13.0827,80.2707
Coimbatore,Tamil Nadu,11.0168,76.9558
Madurai,Tamil Nadu,9.9252,78.1198
Kolkata,West Bengal,22.5726,88.3639
Howrah,West Bengal,22.5958,88.2636
Jaipur,Rajasthan,26.9124,75.7873
Jodhpur,Rajasthan,26.2389,73.0243
Ahmedabad,Gujarat,23.0225,72.5714
Surat,Gujarat,21.1702,72.8311
Vadodara,Gujarat,22.3072,73.1812
Patna,Bihar,25.5941,85.1376
Bhopal,Madhya Pradesh,23.2599,77.4126
Indore,Madhya Pradesh,22.7196,75.8577
Chandigarh,Chandigarh,30.7333,76.7794
Gurugram,Haryana,28.4595,77.0266
Faridabad,Haryana,28.4089,77.3178
Thiruvananthapuram,Kerala,8.5241,76.9366
Ernakulam (Kochi),Kerala,9.9312,76.2673
Visakhapatnam,Andhra Pradesh,17.6868,83.2185
Vijayawada,Andhra Pradesh,16.5062,80.6480
Bhubaneswar,Odisha,20.2961,85.8245
Guwahati,Assam,26.1445,91.7362
Ranchi,Jharkhand,23.3441,85.3096
Raipur,Chhattisgarh,21.2514,81.6296
Dehradun,Uttarakhand,30.3165,78.0322
